season,player,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pts_per_game,AllStar
2024,Cam Thomas,3.2,2.9,0.7,0.2,1.9,22.5,0
2024,Cam Whitmore,3.8,0.7,0.6,0.4,1.0,12.3,0
2024,Cameron Johnson,4.3,2.4,0.8,0.3,1.0,13.4,0
2024,Cameron Payne,1.5,2.6,0.5,0.1,0.8,7.4,0
2024,Cameron Payne,1.3,2.3,0.5,0.1,0.7,6.2,0
2024,Cameron Payne,1.8,3.1,0.6,0.3,1.1,9.3,0
2024,Caris LeVert,4.1,5.1,1.1,0.5,1.7,14.0,0
2024,Cason Wallace,2.3,1.5,0.9,0.5,0.5,6.8,0
2024,Cedi Osman,2.5,1.7,0.5,0.2,0.7,6.8,0
2024,Charles Bassey,4.0,1.1,0.4,0.9,0.8,3.3,0
2024,Charlie Brown Jr.,0.3,0.0,0.0,0.3,0.3,0.8,0
2024,Chet Holmgren,7.9,2.4,0.6,2.3,1.6,16.5,0
2024,Chimezie Metu,3.8,0.9,0.8,0.3,1.0,6.5,0
2024,Chimezie Metu,3.0,0.5,0.5,0.2,0.7,5.0,0
2024,Chimezie Metu,6.0,1.9,1.7,0.5,1.8,10.5,0
2024,Chris Boucher,4.1,0.5,0.3,0.5,0.6,6.4,0
2024,Chris Duarte,1.8,0.7,0.5,0.1,0.4,3.9,0
2024,Chris Livingston,1.0,0.2,0.1,0.0,0.2,1.2,0
2024,Chris Paul,3.9,6.8,1.2,0.1,1.3,9.2,0
2024,Christian Braun,3.7,1.6,0.5,0.4,0.7,7.3,0
2024,Christian Wood,5.1,1.0,0.3,0.7,1.0,6.9,0
2024,Chuma Okeke,1.7,0.4,0.2,0.1,0.3,2.3,0
2024,Clint Capela,10.6,1.2,0.6,1.5,1.0,11.5,0
2024,Coby White,4.5,5.1,0.7,0.2,2.1,19.1,0
2024,Cody Martin,3.9,3.7,1.1,0.6,1.6,7.5,0
2024,Cody Zeller,2.6,0.9,0.2,0.1,0.4,1.8,0
2024,Colby Jones,1.3,0.7,0.2,0.2,0.3,2.1,0
2024,Cole Anthony,3.8,2.9,0.8,0.5,1.6,11.6,0
2024,Cole Swider,0.4,0.3,0.1,0.1,0.4,2.3,0
2024,Colin Castleton,0.8,0.2,0.1,0.0,0.2,1.5,0
2024,Collin Gillespie,0.9,1.1,0.5,0.0,0.6,3.6,0
2024,Collin Sexton,2.6,4.9,0.8,0.2,2.1,18.7,0
2024,Corey Kispert,2.8,2.0,0.5,0.2,1.2,13.4,0
2024,Cory Joseph,1.2,1.6,0.2,0.1,0.5,2.4,0
2024,Craig Porter Jr.,2.1,2.3,0.4,0.3,0.9,5.6,0
2024,D'Angelo Russell,3.1,6.3,0.9,0.5,2.1,18.0,0
2024,D'Moi Hodge,0.0,0.7,0.1,0.1,0.1,2.0,0
2024,D.J. Carton,1.0,0.8,0.3,0.0,0.3,2.8,0
2024,D.J. Wilson,1.0,1.0,0.0,1.0,0.0,5.0,0
2024,DaQuan Jeffries,0.3,0.3,0.0,0.1,0.2,0.8,0
2024,Daishen Nix,0.2,0.4,0.3,0.0,0.3,1.8,0
2024,Dalano Banton,3.3,2.4,0.6,0.4,1.4,10.3,0
2024,Dalano Banton,1.5,0.8,0.2,0.1,0.4,2.3,0
2024,Dalano Banton,4.8,3.6,0.9,0.6,2.2,16.7,0
2024,Dalen Terry,1.9,1.4,0.5,0.3,0.5,3.1,0
